key 	 Omega 	 dN 	 dS 
OGs_OG0003297_Gbi_Lko.aln	0.0892	0.2741	3.0731
OGs_OG0002999_Gbi_Lko.aln	0.0825	0.0648	0.7856
OGs_OG0006314_Gbi_Lko.aln	0.106	0.3749	3.5367
OGs_OG0005586_Gbi_Lko.aln	0.0761	0.1685	2.214
OGs_OG0006402_Gbi_Lko.aln	0.0386	0.1778	4.6062
OGs_OG0003831_Gbi_Lko.aln	0.1038	0.0696	0.6712
OGs_OG0006194_Gbi_Lko.aln	0.0189	0.0855	4.5097
OGs_OG0006300_Gbi_Lko.aln	0.1129	0.1071	0.9482
OGs_OG0004762_Gbi_Lko.aln	0.057	0.2354	4.1322
OGs_OG0005418_Gbi_Lko.aln	0.0494	0.0852	1.7272
OGs_OG0004225_Gbi_Lko.aln	0.2326	0.5305	2.2812
OGs_OG0003616_Gbi_Lko.aln	0.0282	0.0898	3.181
OGs_OG0005210_Gbi_Lko.aln	0.1892	0.3556	1.8789
OGs_OG0009648_Gbi_Lko.aln	0.0665	0.264	3.9696
OGs_OG0011531_Gbi_Lko.aln	0.1917	0.365	1.9037
OGs_OG0003801_Gbi_Lko.aln	0.0243	0.1034	4.2554
OGs_OG0003042_Gbi_Lko.aln	0.0326	0.1804	5.5419
OGs_OG0001315_Gbi_Lko.aln	0.1496	0.2253	1.5063
OGs_OG0006840_Gbi_Lko.aln	0.0283	0.0547	1.9301
OGs_OG0007722_Gbi_Lko.aln	0.0486	0.1755	3.6116
OGs_OG0007530_Gbi_Lko.aln	0.0668	0.2786	4.1716
OGs_OG0005692_Gbi_Lko.aln	0.0597	0.2372	3.9726
OGs_OG0008645_Gbi_Lko.aln	0.1241	0.3767	3.0352
OGs_OG0002498_Gbi_Lko.aln	0.019	0.0796	4.1997
OGs_OG0002441_Gbi_Lko.aln	0.0238	0.0794	3.3392
OGs_OG0007852_Gbi_Lko.aln	0.4006	0.4505	1.1247
OGs_OG0007289_Gbi_Lko.aln	0.1387	0.2816	2.0307
OGs_OG0004163_Gbi_Lko.aln	0.0247	0.1001	4.0619
OGs_OG0010150_Gbi_Lko.aln	0.0382	0.1821	4.7606
OGs_OG0008077_Gbi_Lko.aln	0.1261	0.3895	3.0893
OGs_OG0004326_Gbi_Lko.aln	0.0633	0.3028	4.7847
OGs_OG0005961_Gbi_Lko.aln	0.2663	0.8028	3.0142
OGs_OG0010109_Gbi_Lko.aln	0.0634	0.264	4.1623
OGs_OG0002036_Gbi_Lko.aln	0.047	0.0799	1.7001
OGs_OG0004597_Gbi_Lko.aln	0.0284	0.0506	1.7806
OGs_OG0004447_Gbi_Lko.aln	0.0565	0.2434	4.3038
OGs_OG0007610_Gbi_Lko.aln	0.0861	0.133	1.5443
OGs_OG0007998_Gbi_Lko.aln	0.0591	0.2465	4.1743
OGs_OG0003706_Gbi_Lko.aln	0.0846	0.3154	3.7274
OGs_OG0001943_Gbi_Lko.aln	0.0161	0.0797	4.9364
OGs_OG0013354_Gbi_Lko.aln	0.1285	0.4878	3.7957
OGs_OG0003030_Gbi_Lko.aln	0.101	0.1629	1.6128
OGs_OG0008085_Gbi_Lko.aln	0.0093	0.0413	4.4579
OGs_OG0004181_Gbi_Lko.aln	0.0197	0.0218	1.108
OGs_OG0013458_Gbi_Lko.aln	0.2635	0.4547	1.7258
OGs_OG0003210_Gbi_Lko.aln	0.0166	0.0703	4.227
OGs_OG0005225_Gbi_Lko.aln	0.1104	0.1782	1.6133
OGs_OG0006398_Gbi_Lko.aln	0.0686	0.3026	4.4113
OGs_OG0007320_Gbi_Lko.aln	0.0154	0.0691	4.4907
OGs_OG0007167_Gbi_Lko.aln	0.0818	0.174	2.1264
OGs_OG0004492_Gbi_Lko.aln	0.0855	0.2923	3.42
OGs_OG0002114_Gbi_Lko.aln	0.0641	0.257	4.0118
OGs_OG0007698_Gbi_Lko.aln	0.0183	0.0498	2.7266
OGs_OG0002228_Gbi_Lko.aln	0.0996	0.1797	1.8046
OGs_OG0003174_Gbi_Lko.aln	0.0455	0.2085	4.5797
OGs_OG0005569_Gbi_Lko.aln	0.0608	0.2262	3.721
OGs_OG0004673_Gbi_Lko.aln	0.0302	0.0806	2.6657
OGs_OG0013559_Gbi_Lko.aln	0.4398	0.3714	0.8445
OGs_OG0008901_Gbi_Lko.aln	0.1551	0.3354	2.162
OGs_OG0005557_Gbi_Lko.aln	0.0781	0.2461	3.1518
OGs_OG0006715_Gbi_Lko.aln	0.0504	0.1628	3.2328
OGs_OG0003186_Gbi_Lko.aln	0.1368	0.5143	3.7604
OGs_OG0010614_Gbi_Lko.aln	0.0972	0.2228	2.2918
OGs_OG0000887_Gbi_Lko.aln	0.0788	0.1562	1.9823
OGs_OG0003541_Gbi_Lko.aln	0.0188	0.091	4.846
OGs_OG0013516_Gbi_Lko.aln	0.1492	0.2924	1.9591
OGs_OG0004270_Gbi_Lko.aln	0.0858	0.2819	3.2843
OGs_OG0005275_Gbi_Lko.aln	0.021	0.0816	3.8816
OGs_OG0004365_Gbi_Lko.aln	0.086	0.2126	2.4737
OGs_OG0004058_Gbi_Lko.aln	0.1877	0.3098	1.6509
OGs_OG0011542_Gbi_Lko.aln	0.1755	0.2248	1.2814
OGs_OG0008017_Gbi_Lko.aln	0.0522	0.108	2.067
OGs_OG0007496_Gbi_Lko.aln	0.0998	0.2214	2.2195
OGs_OG0003948_Gbi_Lko.aln	0.0252	0.1162	4.6109
OGs_OG0006622_Gbi_Lko.aln	0.0473	0.0761	1.6075
OGs_OG0005736_Gbi_Lko.aln	0.0121	0.0549	4.5474
OGs_OG0003535_Gbi_Lko.aln	0.0761	0.3564	4.681
OGs_OG0007016_Gbi_Lko.aln	0.0574	0.2282	3.9741
OGs_OG0002670_Gbi_Lko.aln	0.1299	0.315	2.4245
OGs_OG0013361_Gbi_Lko.aln	0.0579	0.1916	3.3101
OGs_OG0004021_Gbi_Lko.aln	0.0841	0.178	2.1163
OGs_OG0005417_Gbi_Lko.aln	0.0448	0.1947	4.345
OGs_OG0002318_Gbi_Lko.aln	0.0284	0.0422	1.4822
OGs_OG0004759_Gbi_Lko.aln	0.0148	0.0713	4.8121
OGs_OG0002172_Gbi_Lko.aln	0.0793	0.3495	4.408
OGs_OG0003510_Gbi_Lko.aln	0.0248	0.1032	4.1616
OGs_OG0004488_Gbi_Lko.aln	0.1147	0.1944	1.6952
OGs_OG0000425_Gbi_Lko.aln	0.1917	0.2517	1.3128
OGs_OG0006773_Gbi_Lko.aln	0.0623	0.0706	1.1337
OGs_OG0002965_Gbi_Lko.aln	0.0395	0.1525	3.8629
OGs_OG0000976_Gbi_Lko.aln	0.0488	0.182	3.7273
OGs_OG0004068_Gbi_Lko.aln	0.0112	0.054	4.8176
OGs_OG0004039_Gbi_Lko.aln	0.0334	0.134	4.0146
OGs_OG0005588_Gbi_Lko.aln	0.0102	0.0476	4.6536
OGs_OG0005533_Gbi_Lko.aln	0.0304	0.1336	4.3894
OGs_OG0002382_Gbi_Lko.aln	0.0628	0.1049	1.6702
OGs_OG0010410_Gbi_Lko.aln	0.6624	0.3551	0.536
OGs_OG0007749_Gbi_Lko.aln	0.0143	0.0662	4.6395
OGs_OG0010454_Gbi_Lko.aln	0.058	0.177	3.0504
OGs_OG0004540_Gbi_Lko.aln	0.1888	0.2917	1.5453
OGs_OG0005122_Gbi_Lko.aln	0.0285	0.1035	3.6263
OGs_OG0004757_Gbi_Lko.aln	0.121	0.2761	2.2809
OGs_OG0008321_Gbi_Lko.aln	0.1026	0.1785	1.7404
OGs_OG0008853_Gbi_Lko.aln	0.0319	0.1323	4.155
OGs_OG0008622_Gbi_Lko.aln	0.1278	0.5324	4.1648
OGs_OG0007467_Gbi_Lko.aln	0.0344	0.0907	2.6336
OGs_OG0002233_Gbi_Lko.aln	0.2263	0.4871	2.1522
OGs_OG0005721_Gbi_Lko.aln	0.0209	0.0412	1.9729
OGs_OG0002800_Gbi_Lko.aln	0.0712	0.1037	1.4572
OGs_OG0004194_Gbi_Lko.aln	0.018	0.0369	2.0491
OGs_OG0007007_Gbi_Lko.aln	0.0388	0.165	4.2518
OGs_OG0006087_Gbi_Lko.aln	0.0154	0.0472	3.0725
OGs_OG0005551_Gbi_Lko.aln	0.031	0.1176	3.7897
OGs_OG0011107_Gbi_Lko.aln	0.128	0.1335	1.0427
OGs_OG0005152_Gbi_Lko.aln	0.0855	0.1771	2.0704
OGs_OG0003885_Gbi_Lko.aln	0.014	0.062	4.4288
OGs_OG0003117_Gbi_Lko.aln	0.0996	0.3507	3.5204
OGs_OG0004609_Gbi_Lko.aln	0.0466	0.1853	3.9757
OGs_OG0002290_Gbi_Lko.aln	0.0125	0.038	3.0276
OGs_OG0002904_Gbi_Lko.aln	0.0061	0.0249	4.0633
OGs_OG0006556_Gbi_Lko.aln	0.0142	0.0586	4.1204
OGs_OG0001883_Gbi_Lko.aln	0.0402	0.0625	1.5565
OGs_OG0005355_Gbi_Lko.aln	0.0755	0.2018	2.6719
OGs_OG0004282_Gbi_Lko.aln	0.0776	0.3259	4.1982
OGs_OG0001656_Gbi_Lko.aln	0.0324	0.0664	2.0496
OGs_OG0003845_Gbi_Lko.aln	0.0259	0.0798	3.0839
OGs_OG0006741_Gbi_Lko.aln	0.0272	0.108	3.9705
OGs_OG0008746_Gbi_Lko.aln	0.0348	0.1207	3.4676
OGs_OG0003962_Gbi_Lko.aln	0.0301	0.0917	3.0467
OGs_OG0008140_Gbi_Lko.aln	0.088	0.4173	4.7397
OGs_OG0003292_Gbi_Lko.aln	0.0696	0.1359	1.952
OGs_OG0000622_Gbi_Lko.aln	0.0484	0.1788	3.6922
OGs_OG0001983_Gbi_Lko.aln	0.0851	0.4089	4.8031
OGs_OG0003171_Gbi_Lko.aln	0.0402	0.1589	3.9517
OGs_OG0001473_Gbi_Lko.aln	0.0562	0.1604	2.8544
OGs_OG0007901_Gbi_Lko.aln	0.1004	0.2958	2.9461
OGs_OG0002295_Gbi_Lko.aln	0.0613	0.0472	0.7699
OGs_OG0007797_Gbi_Lko.aln	0.0151	0.0347	2.2885
OGs_OG0004651_Gbi_Lko.aln	0.0672	0.282	4.1964
OGs_OG0003645_Gbi_Lko.aln	0.1691	0.4469	2.6423
OGs_OG0003369_Gbi_Lko.aln	0.0301	0.1389	4.6195
OGs_OG0009372_Gbi_Lko.aln	0.0872	0.2821	3.2342
OGs_OG0006289_Gbi_Lko.aln	0.0166	0.0736	4.4203
OGs_OG0003136_Gbi_Lko.aln	0.043	0.1853	4.3042
OGs_OG0003943_Gbi_Lko.aln	0.0599	0.2426	4.0481
OGs_OG0005880_Gbi_Lko.aln	0.0109	0.0471	4.3311
OGs_OG0004526_Gbi_Lko.aln	0.0207	0.0499	2.4113
OGs_OG0007275_Gbi_Lko.aln	0.1069	0.4095	3.8318
OGs_OG0002946_Gbi_Lko.aln	0.1368	0.2527	1.8468
OGs_OG0013556_Gbi_Lko.aln	0.1974	0.0671	0.3398
OGs_OG0006283_Gbi_Lko.aln	0.0053	0.0182	3.4598
OGs_OG0004323_Gbi_Lko.aln	0.0668	0.1054	1.5783
OGs_OG0005593_Gbi_Lko.aln	0.0893	0.174	1.9483
